Community Group,Number/Code,Trap type,Bait,Strikes,Species caught,Date,Notes,created date,last edited date,Status,Rebaited,Trap condition
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,1,Rat,"January 8, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,1,Rat,"January 14, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,TP0004,DOC 200,None,1,Rat,"December 6, 2017",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,None,1,Rat,"July 6, 2017",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,1,Rat,"October 14, 2017",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Dried fruit,1,Rat,"January 7, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Other (please specify),1,Rat,"January 6, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Fresh fruit,2,Hedgehog,"March 31, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Fresh fruit,1,Hedgehog,"May 2, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,1,Weasel,"May 17, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,None,1,Rat,"June 6, 2017",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,1,Hedgehog,"January 5, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,3,Rat,"March 27, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Fresh meat,1,Mouse,"May 23, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Fresh meat,3,Mouse,"May 29, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Salted meat,1,Rat,"May 30, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Salted meat,1,Rat,"June 7, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Salted meat,1,Rat,"June 9, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Salted meat,3,Rat,"June 16, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Salted meat,1,Rat,"June 18, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Salted meat,1,Rat,"July 9, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Fresh meat,1,Rat,"September 5, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,1,Hedgehog,"October 1, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,1,Hedgehog,"October 12, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,2,Rat,"November 6, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,1,Rat,"December 29, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,2,Hedgehog,"December 31, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,1,Hedgehog,"January 21, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,2,Hedgehog,"March 24, 2019",,"October 29, 2020","November 25, 2020",Sprung,No,
Predator Free Port Hills Huntsbury,TP0004,DOC 200,None,1,Rat,"April 25, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,TP0004 / TP0004 supplementary,Unspecified,None,5,Mouse,"April 25, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Cheese,3,Rat,"May 10, 2019",,"October 29, 2020","November 25, 2020",Sprung,No,
Predator Free Port Hills Huntsbury,TP0004 / TP0004 supplementary,Unspecified,Cheese,5,Mouse,"May 10, 2019",,"October 29, 2020","November 25, 2020",Sprung,No,
Predator Free Port Hills Huntsbury,TP0004,DOC 200,Peanut butter,2,Rat,"May 15, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,TP0004 / TP0004 supplementary,Unspecified,Peanut butter,4,Mouse,"May 15, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills St Martins,TP0028,Cage Trap,None,1,Possum,"January 21, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Cashmere,TP0044,Rat trap,None,1,Rat,"July 31, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Cashmere,T1207,Rat trap,None,1,Rat,"June 30, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Cashmere,T0045,Mouse trap,Peanut butter,20,Mouse,"May 31, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Cashmere,T0045,Mouse trap,None,20,Mouse,"April 28, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,T0044,Rat trap,Peanut butter,2,Rat,"August 31, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,T0044,Rat trap,None,3,Rat,"April 30, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0043,Rat trap,Peanut butter,4,Rat,"April 30, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0043,Rat trap,None,7,Rat,"March 31, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,T0447,Rat trap,None,6,Mouse,"June 30, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,T0447,Rat trap,Peanut butter,6,Mouse,"May 31, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,T0447,Rat trap,Peanut butter,6,Mouse,"April 30, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,T0447,Rat trap,None,1,Rat,"April 30, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0042,Mouse trap,None,2,Mouse,"February 29, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0041,Mouse trap,None,4,Mouse,"May 31, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0040,Timms,None,3,Hedgehog,"February 27, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0040,Timms,None,1,Possum,"February 28, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TPAxel / TPAxel supplementary,Mouse trap,None,3,Mouse,"May 1, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TPAxel,A24,None,6,Rat,"May 1, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,T00718,DOC 200,Peanut butter,2,Rat,"August 31, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,T00718,DOC 200,Peanut butter,2,Rat,"July 31, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,T00718,DOC 200,None,3,Rat,"April 30, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TPNA24,A24,None,2,Hedgehog,"February 11, 2020",,"October 29, 2020","November 25, 2020",Sprung,No,OK
Predator Free Port Hills Huntsbury,T1336,Rat trap,None,1,Rat,"June 30, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,T0495,DOC 200,None,1,Hedgehog,"July 31, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,T0495,DOC 200,None,1,Mouse,"June 30, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,T0495,DOC 200,None,1,Mouse,"June 30, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,T0495,DOC 200,Peanut butter,1,Hedgehog,"May 31, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,T0495,DOC 200,None,1,Rat,"January 22, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills St Martins,T0539,Rat trap,None,2,Mouse,"August 4, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills St Martins,T0539,Rat trap,Peanut butter,6,Mouse,"May 31, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills St Martins,T0539,Rat trap,Peanut butter,7,Mouse,"April 30, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills St Martins,T0539,Rat trap,Peanut butter,1,Hedgehog,"April 30, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills St Martins,T0539,Rat trap,Peanut butter,2,Mouse,"March 31, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills St Martins,T0539,Rat trap,Peanut butter,1,Rat,"October 30, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills St Martins,T0539,Rat trap,None,1,Mouse,"September 30, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0034,Rat trap,Peanut butter,3,Rat,"June 30, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0034,Rat trap,Peanut butter,1,Rat,"October 31, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0034,Rat trap,None,1,Rat,"August 31, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,T0303,Rat trap,None,0,None,"February 28, 2018",,"October 29, 2020","November 25, 2020","Still set, bait OK",No,OK
Predator Free Port Hills Huntsbury,T0303,Rat trap,None,0,None,"March 31, 2018",,"October 29, 2020","November 25, 2020","Still set, bait OK",Yes,OK
Predator Free Port Hills Huntsbury,T0304,Trapinator,None,0,None,"February 28, 2018",,"October 29, 2020","November 25, 2020","Still set, bait OK",No,OK
Predator Free Port Hills Huntsbury,T0304,Trapinator,None,0,None,"March 31, 2018",,"October 29, 2020","November 25, 2020","Still set, bait OK",Yes,OK
Predator Free Port Hills Cashmere,T301,Rat trap,None,0,None,"April 30, 2018",,"October 29, 2020","November 25, 2020","Still set, bait OK",No,OK
Predator Free Port Hills Cashmere,T301,Rat trap,Peanut butter,0,None,"June 30, 2018",,"October 29, 2020","November 25, 2020","Still set, bait OK",Yes,OK
Predator Free Port Hills Cashmere,T301,Rat trap,None,0,None,"August 31, 2018",,"October 29, 2020","November 25, 2020","Still set, bait OK",No,OK
Predator Free Port Hills Huntsbury,TP0016,Cage Trap,Peanut butter,1,Possum,"May 6, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0016,Cage Trap,Fresh fruit,4,Mouse,"March 30, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0016,Cage Trap,Peanut butter,1,Possum,"December 3, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0016,Cage Trap,Peanut butter,1,Mouse,"August 29, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0016,Cage Trap,None,1,Rat,"May 21, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0016,Cage Trap,Salted meat,1,Rat,"August 23, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,T0189,A12,None,0,None,"March 31, 2018",,"October 29, 2020","November 25, 2020","Still set, bait OK",Yes,OK
Predator Free Port Hills Huntsbury,T0189,A12,Rat and Possum Lure,0,None,"June 30, 2018",,"October 29, 2020","November 25, 2020","Still set, bait OK",Yes,OK
Predator Free Port Hills Huntsbury,T0101,Unspecified,None,1,Rat,"July 18, 2017",,"October 29, 2020","November 25, 2020",Sprung,No,OK
Predator Free Port Hills Huntsbury,T0101,Unspecified,None,1,Rat,"August 3, 2017",,"October 29, 2020","November 25, 2020",Sprung,No,OK
Predator Free Port Hills Huntsbury,T0101,Unspecified,None,1,Rat,"July 26, 2017",,"October 29, 2020","November 25, 2020",Sprung,No,OK
Predator Free Port Hills Huntsbury,T0103,Unspecified,None,4,Rat,"March 30, 2018",,"October 29, 2020","November 25, 2020",Sprung,No,OK
Predator Free Port Hills Huntsbury,T0103,Unspecified,None,0,None,"April 30, 2018",,"October 29, 2020","November 25, 2020","Still set, bait OK",Yes,OK
Predator Free Port Hills Cashmere,T0302,Rat trap,None,2,Rat,"April 30, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Cashmere,T0302,Rat trap,None,0,None,"April 30, 2018",,"October 29, 2020","November 25, 2020","Still set, bait OK",No,OK
Predator Free Port Hills Cashmere,T0302,Rat trap,Peanut butter,0,None,"August 31, 2018",,"October 29, 2020","November 25, 2020","Still set, bait OK",No,OK
Predator Free Port Hills Huntsbury,TP0002,Timms,Fresh fruit,1,Possum,"June 12, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0002,Timms,Fresh fruit,1,Hedgehog,"December 30, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0002,Timms,Fresh fruit,1,Possum,"October 31, 2017",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0002,Timms,Fresh fruit,1,Possum,"January 28, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0002,Timms,Rat and Possum Lure,1,Possum,"January 29, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0002,Timms,Fresh fruit,2,Hedgehog,"March 6, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0002,Timms,Fresh fruit,2,Possum,"March 17, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0002,Timms,Fresh fruit,1,Possum,"April 19, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0002,Timms,Fresh fruit,1,Possum,"May 2, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0002,Timms,Fresh fruit,1,Possum,"May 5, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0002,Timms,Fresh fruit,1,Possum,"May 18, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0002,Timms,Other (please specify),1,Possum,"September 24, 2017",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0002,Timms,None,1,Possum,"July 5, 2017",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0002,Timms,Fresh fruit,1,Possum,"October 12, 2017",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0002,Timms,Fresh fruit,1,Possum,"August 6, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0002,Timms,Chocolate,1,Possum,"August 23, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0002,Timms,Fresh fruit,1,Possum,"September 28, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,TP0002,Timms,Peanut butter,1,Possum,"October 12, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,TP0002,Timms,Fresh fruit,2,Hedgehog,"November 6, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,TP0002,Timms,Fresh fruit,1,Hedgehog,"February 28, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,TP0002,Timms,Fresh fruit,1,Possum,"March 3, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,TP0003,Timms,None,1,Hedgehog,"January 8, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0003,Timms,Fresh fruit,1,Possum,"January 29, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0003,Timms,Fresh fruit,1,Hedgehog,"February 6, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0003,Timms,Fresh fruit,1,Hedgehog,"February 19, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0003,Timms,Fresh fruit,1,Possum,"March 10, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0003,Timms,Fresh fruit,1,Possum,"March 17, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0003,Timms,Fresh fruit,1,Possum,"May 5, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0003,Timms,Fresh fruit,2,Rat,"August 23, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,TP0003,Timms,Fresh fruit,1,Rat,"October 12, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,TP0003,Timms,Fresh fruit,1,Possum,"December 29, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,TP0003,Timms,Fresh fruit,1,Possum,"December 31, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,Tp0005,DOC 200,Peanut butter,2,Hedgehog,"October 6, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0005,DOC 200,None,1,Rat,"August 18, 2020",,"October 29, 2020","November 25, 2020",Sprung,No,OK
Predator Free Port Hills Huntsbury,Tp0005,DOC 200,None,1,Rat,"July 22, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0005,DOC 200,None,4,Rat,"June 30, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0005,DOC 200,None,2,Rat,"May 31, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0005,DOC 200,Peanut butter,1,Mouse,"January 31, 2020",,"October 29, 2020","November 25, 2020",Sprung,No,OK
Predator Free Port Hills Huntsbury,Tp0005,DOC 200,Peanut butter,1,Rat,"November 27, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0005,DOC 200,Peanut butter,1,Rat,"November 11, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0005,DOC 200,Peanut butter,1,Rat,"October 15, 2017",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0005,DOC 200,Dried fruit,1,Rat,"March 8, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0005,DOC 200,None,1,Rat,"August 8, 2017",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0005,DOC 200,Fresh fruit,1,Rat,"May 29, 2018",,"October 29, 2020","November 25, 2020",Sprung,No,OK
Predator Free Port Hills Huntsbury,Tp0005,DOC 200,Salted meat,1,Hedgehog,"February 11, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,Tp0005,DOC 200,Peanut butter,1,Rat,"March 6, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,Tp0001,Timms,Fresh fruit,2,Possum,"December 5, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0001,Timms,None,1,Hedgehog,"October 17, 2017",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0001,Timms,Fresh fruit,1,Possum,"May 10, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0001,Timms,Fresh fruit,1,Possum,"June 23, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0001,Timms,Fresh fruit,1,Hedgehog,"September 20, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,Tp0001,Timms,Fresh fruit,1,Possum,"February 11, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,
Predator Free Port Hills Huntsbury,Tp0001,Timms,Fresh fruit,1,Possum,"July 29, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,None,3,Rat,"August 31, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,None,1,Unspecified,"August 18, 2020",,"October 29, 2020","November 25, 2020","Still set, bait OK",Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,None,2,Rat,"July 22, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,Peanut butter,4,Rat,"June 30, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,Peanut butter,2,Rat,"May 31, 2020",,"October 29, 2020","November 25, 2020",Sprung,No,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,Peanut butter,3,Rat,"February 14, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,Peanut butter,1,Hedgehog,"February 7, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,Peanut butter,1,Hedgehog,"January 30, 2020",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,Peanut butter,1,Rat,"December 20, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,Peanut butter,1,Hedgehog,"December 3, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,Peanut butter,1,Rat,"November 30, 2019",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,None,1,Rat,"December 2, 2017",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006 / Tp0006 (supplementary),Mouse trap,None,1,Mouse,"February 13, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,Peanut butter,1,Mouse,"February 26, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006 / Tp0006 (supplementary),Mouse trap,Peanut butter,1,Mouse,"February 26, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006 / Tp0006 (supplementary),Mouse trap,Peanut butter,2,Mouse,"March 17, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,Peanut butter,3,Mouse,"March 20, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,Peanut butter,1,Rat,"May 13, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,Peanut butter,1,Mouse,"April 5, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,Peanut butter,1,Rat,"May 24, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,Peanut butter,1,Rat,"June 16, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,Fresh meat,1,Rat,"June 21, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,Peanut butter,1,Mouse,"July 9, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,Mustelid and Cat Lure,2,Rat,"July 23, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,Peanut butter,3,Mouse,"July 23, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,OK
Predator Free Port Hills Huntsbury,Tp0006,DOC 150,Peanut butter,1,Rat,"October 7, 2018",,"October 29, 2020","November 25, 2020",Sprung,Yes,
